timestamp,speaker,words,tags
,Rebecca Scofield,"This is Rebecca Scofield and I'm here with Tre, Mr. NGRA 2017 and were at the Texas Tradition Rodeo outside Dallas and its April 1st, 2017. So can you tell me what year you were born?",
,Tré Brewbaker,1982…long time ago. ,
,RS,And where did you grow up?,
,TB,"I grew up in El Paso, Texas.",
,RS,Were you more in town? Were you out on a place?,
,TB,"I was in town, I lived in the city. Well east El Paso which is now center of El Paso, so yeah I lived in the city. ",
,RS,Did you have much experience with stock growing up?,
,TB,"No, my family is traditionally stock car racing, dirt tracks so the communities are very similar, the experiences…however, animal interaction was minimal as a kid.",family
,RS,Were you at all interested in…like did you want to go ride horses at all?,
,TB,"Absolutely, I think anyone who lives and grows up in Texas it's like in your blood. It's very…I think it's culture. Like I feel like the way I was raised and when I grew up it was just there's something…horses are amazing and they're majestic and they are powerful there are just so many positive words I can't think of any negative ones. And who wouldn't want to be involved in something of that nature.",
,RS,What did your parents do?,
,TB,My dad is an architectural engineer and a general contractor now currently its yeah… And my mother stayed home and worked stayed at home so we could have someone there she didn't want to put us in daycare and have someone else raise us. So it made it tough sometimes…eventually she worked you know side jobs.,parents;events
,RS,Side jobs. Do you have siblings? ,
,TB,"I do a bunch of them. I'm the oldest. My parents were divorced so we have step and half-sisters. I have a full brother, a half-brother, a half-sister, and a step-sister in all reality I have 4 siblings. I don't treat any of them different to me they are all the same.",parents;childhood
,RS,That's great. Were any of them interested in animals or horses growing up?,
,TB,"My…I think every girl that I've ever known as a little kid wants a pony. So my sisters totally did…they ended up in music which I'm very thankful for. It's a lot more affordable. And they love it. But they again rodeo's expensive, we couldn't afford it. So I think just going to the events was our extent of it which was just as good for me.",childhood;music;events
,RS,So how did you end up in New Mexico?,
,TB,"I you know you hit that age where you go I have to get out of the house. I'm a very independent person, very go getter. And so I said you know what I want to move out and I met a friend who races and uh he was just getting out of school and was like I've got this house you should move in we can split the rent it was one of those weird things where you are 20 years old and said let’s do it and so I did. And I moved to Farmington, New Mexico which is in the middle of nowhere and the Four Corners and it was fun and everything else is like a series of events that happened that led me to Albuquerque. ",events
,RS,That's amazing. So you are in Albuquerque now?,
,TB,I am.,
,RS,In town or outside of?,
,TB,"I'm right on the edge of Albuquerque and everyone says you live to far away I do live like 20 minutes from the center of town which for us is no big deal but you tell everyone else and they are like, “That's so far.” ",
,RS,Do you do you have any stock now?,
,TB,I don't. I don't. ,
,RS,So what do you do for a living?,
,TB,I am a social media specialist for T-Mobile. ,jobs
,RS,Oh wow.,
,TB,"So yeah, I love my job. I absolutely take every chance you can cause you never know when it's going to work out and it did. I love it.",jobs
,RS,That's really good.,
,TB,"If it wasn't for them, I wouldn't be here.",
,RS,How long have you been working for them?,
,TB,"I've been with T-Mobile for 5 years this May, so 5 years next month, oh my gosh. And it's been amazing. They are very supportive. They know that my title that I'm part of the rodeo that I was Mr. New Mexico Pride last year and they supported that tremendously. ",jobs
,RS,That's right.,
,TB,Very exciting.,
[4:50],RS,So how do you identify in terms of gender and sexuality? ,
[5:05],TB,"I'm a male. I'm a dude. And I'm very comfortable in my own skin, I guess, and I'm gay. ",
,RS,So how was dealing with your sexuality growing up?,
,TB,"Hard. Very much so. And that's internal. You grow up in Texas right you grew up with a southern values that doesn't change nothing has for me but the you go through the “something's not the same.” You don't realize it til like afterthought. And then, “Okay, well maybe I can convince myself otherwise.” So I went through that and that didn’t really change. So I was like, okay. You get to that point where you accept it, where you are like, okay this is me. And then you have to start planning…oh I'm a thinker and a planner and an overthinker and such so it's planning I literally sat there and when am I going to tell anyone? And how? And am I prepared to lose everything I have and start over. That answers is always no. ",comingout
,TB,"You got to the day where it was a yes. And it's extremely emotional. You have that one person, if it wasn't for some of my friends who were like dropping hints like they knew it wouldn't have happened, yet. I came out very late publicly to my family. It wasn't a negative experience per say a lot of people say it was but I didn't get shunned I'm happy with that. I'm thought I was going to lose everything and I didn't. I don't have the same relationship with my parents, but I still have a relationship with my parents and that's something that I think they still struggle to this day. But they know and I don't hide it I just don't talk about it. And so, it is what it is. ",comingout;family;parents
,RS,And they are they still in El Paso?,
,TB,"My mother is, and my dad is in Arizona now. He moved there for work and so they know. We've talked about and my mom and I talked about it once. She's very religious but not crazy religious and I say that loosely because everybody's definition of crazy is different. And you know I'm spiritual as well so that makes it even more confusing, but I think you know my parents always taught me that it's me and my relationship and that's all that matters. So that's what I do.",parents;comingout;religion
,RS,And you said you were Mr. New…?,
,TB,New Mexico Pride last year?,
,RS,Wow. So question? Did you come to performing through rodeo or come to rodeo through performing?,
