timestamp,speaker,words,tags
[00:00:01],RS,"Hello, this is Rebecca Scofield with the Gay Rodeo Oral History Project, and I'm here today with Kelly Poorman. We are meeting via zoom because of the Covid-19 pandemic. I'm in Moscow, Idaho, and it's 10 a.m. on May 5th, 2021. Kelly, do you want to say where you are right now?",
[00:00:26] ,KP,"I am in Boalsburg, Pennsylvania, and it is 1:00 here and it's about 58 degrees. I don't know what the temperature is there.",
[00:00:39] ,RS,"Today it's supposed to get up to 82 here, which seems aggressive.",
[00:00:45] ,KP,A little bit.,
[00:00:46] ,RS,A little bit for me.,
[00:00:47] ,KP,Yeah.,
[00:00:48] ,RS,"OK, well so if you wouldn't mind sharing, what year were you born?",
[00:00:55] ,KP,I was born in 1948.,
[00:00:57] ,RS,And where?,
[00:00:57],KP,"Makes me seventy-two. And I was born in a hospital about 10 miles away from here. This is actually my hometown that I'm living in. And it's pretty neat. I'm in this small town called Boalsburg, as I said. And according to Pennsylvania, we are the birthplace of Memorial Day and I live on Main Street, which means I have the best porch to sit on when we had the Memorial Day parade.",
[00:01:38] ,RS,That's gorgeous -.,
[00:01:38] ,KP,If I'm not in it!,
[00:01:42] ,RS,And was it a pretty rural town when you were growing up?,
[00:01:47] ,KP,"We were about three miles away from the home campus of Penn State University in State College, Pennsylvania, about 85 miles northwest of Harrisburg. When we had students in here, we go up to about 100,000 people living here. With the pandemic we're down to about 50,000 or so. When we tailgate the...I want to say arena, because we're talking about rodeo, the stadium holds 110,000 people. So during the football games, we we are the third largest city in Pennsylvania at that time. So, yeah. It's rural. Yes. I mean, five miles away from here, you can step in cow patties. But you can also see a Broadway show when they open back up over at the university, so.",
[00:03:02] ,RS,"And the house that you're in now on Main Street, was that the house you grew up in?",
[00:03:07] ,KP,"We moved here when I was 10 years old. Now I'm sorry, 5 years old. And it's a 12 room house and it's 6 down, 6 up. Upstairs has always been an apartment. It was on the... It was supposed to sell for $18,000 dollars and my parents said, ""We can afford 15, so we'll counter with 12."" So they countered with 12 and the lady was a friend of my mom's. And she said, ""OK."" So we got a 12 room house for $12,000. And 7 years ago, the house across the street from me sold for a half a million dollars. So my mom always said, ""You're sitting on a gold mine."" And I didn't realize it was the house she was talking about.",parents
[00:04:04] ,RS,Did you have brothers and sisters growing up?,
[00:04:07] ,KP,"I have three sisters. I had three sisters and a brother who passed away when he was a week old. So I...he's in my heart, but I never really ever get meet him. I still have 2 sisters living. 1 of them passed away right after my mom did. I came back to...I lived in L.A. for 25 years and I came back to caregive or to see my mother. And I came for 3 weeks and 2 weeks into my 3 week stay, she had congestive heart failure and a torn rotator cuff on the same night. And my nephew was here, but he was sort of in a room and he never came out. And I really feel that if I hadn't been here, she would have been dead. So I stayed to be her caregiver and she was kind enough to give me the house I grew up in for a dollar. And she'd say to me, we'd be out places, she'd say, ""You know, I haven't ever seen that dollar."" I give her a dollar and say, ""Here, take a taxi home."" She was a character. I get my sense of humor from her.",family
[00:05:23] ,RS,What birth order are you?,
[00:05:26] ,KP,I have 2 older sisters and they're both still living. And then me and then my younger sister passed away. ,
[00:05:37] ,RS,And so you were a middle kid. Do you think that...,
[00:05:42] ,KP,"I was the only...I was the only son and I used to get tormented a lot. You know, I would be out shoveling the sidewalk in the snow and my sisters would be at the window drinking hot chocolate and... And I was also a big old sissy, which didn't help at all and used to get terrorized at school a lot. So it was not a...it was not a happy life. I don't remember a lot of growing up.",childhood
[00:06:15] ,RS,What did your parents do for a living or with their life?,
[00:06:20] ,KP,"Well, my dad was an ironworker, and he was also an abusive alcoholic. And he didn't stay. When I was 10, he would beat my mom on a regular...regular occasions and then he started beating us kids and my mom put a stop to it, kicked him out. She worked three jobs. We'd go to a babysitter in the afternoon and we ate Chef Boyardee ravioli three or four times a week, so I can't even look at a can of that in the grocery store anymore. Ugh! But, you know, we always had clothes. They weren't always new. She was shunned at our local church because she divorced. Which I thought was very hypocritical, and I'm still a member of the church. Go figure. I'll tell you about that later.",childhood;parents;jobs
[00:07:35] ,RS,So you're the middle kid. You moved into town. Were you around horses or cattle at all growing up?,
