timestamp,speaker,words,tags
[00:00:02],Renae Campbell,"This is Renae Campbell and I am here with Greg Begay and we are at the Denver, Colorado, International Gay Rodeo Association Convention. It's November 22nd, 2019, and we're going to talk a little bit about your background first, if that’s okay. I'd like to start with asking where you were born.",
[00:00:21],Greg Begay,"I was born on the Navajo Reservation in Fort Defiance, Arizona.",childhood
,RC,Okay. And did you grow up there?,
[00:00:28],GB,"Yeah. Not specifically in Fort Defiance, but in a small local town called Klagetoh. There's probably less than a thousand people that live there.",childhood
[00:00:41],RC,"So that would be—would you consider that a rural location, probably?",
[00:00:45],GB,"Well, it's so rural that to this day there's not really cell phone service there. And it's kind of primitive because you have to haul water for some houses—they still don't have running water or plumbing. And some houses don't even have electricity. I love it. It's kind of what I've grown up with, so starting a fire or doing anything manual is not very hard.",childhood
[00:01:20],RC,Do you live there still?,
[00:01:23],GB,"My parents do. My dad works for a company that supplies natural gas to, basically, the U.S. They have a house that runs with electricity and then they have a house that doesn't have electricity. So, you do get both sides of it. I love being back—even though my phone doesn't work.",family;parents
[00:01:45],RC,"So, did you go to school there?",
[00:01:53],GB,"I went to school there. And then in high school, we went out of town—out of our town—and we went to a private school, a Catholic school. Then ventured off to Tempe for college.",childhood
[00:02:08],RC,You said “we.” Do you have brothers and sisters?,
[00:02:10],GB,"Yeah, I have two sisters and one brother, one older and the other two are younger. So, kind of a big family, I guess. I would think its normal size for that day because nowadays people like to have one child or two children. Unless you're like, what is it, Kate Plus 8?",family
[00:02:35],RC,It sounds like you and your siblings had a pretty fun time growing up?,
[00:02:39],GB,"Well, there's a pretty big gap with the younger siblings. I believe my brother is seven or eight years younger and then my little sister’s another seven or eight between them. So, it's kind of like a fourteen-year gap between me and the youngest. We grew up near our cousins, so we always had kids to play with.",family
[00:03:12],RC,"And were you involved in, any sort of—were you around horses, or rodeo, or anything growing up?",
[00:03:19],GB,"My dad learned rodeo from my uncles and just went with it. And then we were born, me and my older sister, and we kind of just grew up on the road—loaded up into a van in the middle of the night, and drive to a rodeo, and then hang out and play underneath the bleachers, and watch our dad rope. And then, as we got more comfortable with riding and he put us on or he, like, sat us up there, we were like, “We want to do this.” So, we did junior rodeos and little gymkhanas. And then my older sister was very good at sports, so she didn't really do it past like, going into middle school. But I ended up going into high school rodeo. And I did that.",family;parents;childhood;highlight
[00:04:10],RC,"So, you have a pretty strong background in it?",
,GB,"Yeah. It's more of a love than just kinda something you picked up. I’m still having the passion to get better, to do better at rodeos. It’s kind of just what I love.",highlight
,RC,"Nice. So, did you graduate from college?",
,GB,"I did not, unfortunately. I chose a subject that I’m passionate about but didn't have the focus to remain and do well. And so, I don’t have a college degree.",
,RC,What was the subject?,
[00:04:48],GB,"I went in for pre-veterinarian. Which, there are some days where I think, “Oh, I totally could do that now.” But that’s more bills on top of bills that I have to pay for, right, being an adult. Before it was like, “Oh, I can just go to school, have my parents pay for it.” But it’s not the same now.",
[00:05:09],RC,"Yeah. So, what do you do for work now?",
,GB,I am a blackjack dealer.,jobs
,RC,Oh.,
[00:05:16],GB,"Yeah. It’s fun. I mean, it's fun for me. […] It's fun…90 percent of the time. Ten percent it's, like, dealing with a disgruntled guest or a player that didn't win.",jobs
[00:05:33],RC,And where do you work?,
,GB,"I work in Scottsdale at Talking Stick Resort and Casino, Arizona. I've been there eleven years. I’ve also been doing this going on 14 years, since I turned 21, mostly.",jobs
[00:05:51],RC,And you said you were born on the Navajo Reservation?,
,GB,Yeah.,
,RC,Are you Navajo?,
[00:05:55],GB,"I am 100 percent Navajo, yes.  And my parents, um, they were lucky enough to grow up with family that their first language was Navajo. And then they went to school and they learned English afterwards. Not the same as […] growing up we lived with quite a bit of, what is that, Caucasian families? And they spoke English. So, the difference between me speaking English because we lived with a bunch of families is different than having Navajo kids just normally. The English is a little different. That's kind of how they were. It wasn't like a normal thing to hear people speak English then. Them learning afterwards, it just kind of evolved.",family;parents;race
[00:06:51],RC,"In your household, then, did you speak primarily Navajo?",
[00:06:55],GB,"When we were young, it was kinda just English. In high school, me and my older sister had to take Navajo language as an elective to meet the requirements for certain Navajo scholarships for college. We did that and we did pick up on most of it. Conversation-wise, we're not very good but we know certain words and we fill in the blanks, mostly.",family
,RC,"So, when your parents are talking, you can…?",
[00:07:28],GB,"You’re like, “Oh, they're talking about us.” And then like, “Uh…no, it's not good, let's go.” But Rosetta Stone did make it as a language, so I plan to get that. Because my grandmother passed away two years ago, and I couldn’t really have a conversation with her because she never spoke English. She knew certain words like “pop” or “soda,” but having a conversation with her was, well, was never achieved. I missed out on that.",family
[00:08:05],RC,"So, you did rodeo in high school and then did you keep doing rodeo after that?",
,GB,"I still compete in both rodeos. I mean, I’m a member of the Gay Rodeo Association, but I also compete in the World Series of team roping, and Indian rodeos, and, just everywhere where horses take me, really. I didn’t really stop. I did traditional rodeos all through high school ‘cause, at the time, I was competitive enough to stick with people that are older than me. And doing high school rodeo was, it was just fun. I didn't have a great partner then because I kind of got into it late. I started my senior year and so I kinda got the leftovers, I think. So, sometimes it clicked, most of the time it didn’t, but it was still fun.",highlight;igra
[00:08:59],RC,How did you discover the IGRA?,
[00:09:02],GB,"I think I was like nineteen or twenty, and I was hearing all this gay stuff, like, “I think there's a gay rodeo.” And I searched it up on the internet. And then I forgot to delete the search history and my mom was like, “What is this?” I was like, “Oh, I was just wondering if they had an association for themselves.” Because I didn't come out until I was twenty-one, so it kinda led into something that I wasn't prepared for. So, when did I go? My first gay rodeo was—I think I was twenty-three.",comingout;parents
[00:09:46],RC,You came out before you joined?,
[00:09:48],GB,"Yeah, I joined in February of 2009. So, I’d already been twenty-one, or maybe it’s twenty-four. Yeah, twenty-four. And so, that’s when I joined them and went to my first rodeo. And I wasn't as involved then as I am now. At the time, I was living paycheck to paycheck and I was like, “I really have to watch my money.” And when I went to my first rodeo and I got paid I was like, “Man, this check isn't really what I'm used to winning.” Like, when I win, it’s not very big, so then I was like, “Okay….”",jobs;
[00:10:30],RC,"So, did you participate in the first IGRA rodeo that you went to?",
