timestamp,speaker,words,tags
[00:00:00],RS,"OK, so this is Rebecca Scofield, and I'm here today with Chuck Browning. It is July 9, [2001.] And we are in Denver for the Rocky Mountain Regional. So can you tell me what year you were born?",
[00:00:16],CB,Born in 1963.,
[00:00:18],RS,And where were you born?,
[00:00:20],CB,"I was born in Casper, Wyoming.",
[00:00:25] ,RS,Is that where you grew up?,
[00:00:25],CB,"I grew up in Casper, Wyoming, through 4th grade, moved to upstate New York 5th through 10th grade, back to Wyoming for my final year of high school, then up to Montana for college, then ended in Phoenix, where I've been for 34 years.",
[00:00:42],RS,What did your parents do while growing up?,
[00:00:45],CB,"My stepfather was an electrical engineer, so he did a lot of the high-powered power line constructions. So we would move where the work would go to. So, we traveled for most of my adolescence.",parents
[00:00:57],RS,And what about your mom?,
[00:00:59],CB,"Uh, my mom did some accounting work, she did work as she could, and she also helped my dad with his company.",parents
[00:01:05],RS,And did you have siblings?,
[00:01:06],CB,"I have four older siblings, two older sisters, two older brothers. I had two older stepbrothers and older stepsister and two younger stepbrothers.",family
[00:01:21],RS,Wow.,
[00:01:21],CB,Yah.,
[00:01:21],RS,I'm really impressed right now [laughs].,
[00:01:24],CB,I'm impressed I can remember all that. [laughs with RS],
[00:01:27],RS,"And can you tell me a little bit about growing up, what your family dynamics were like?",
[00:01:34],CB,"Yeah, growing up in Wyoming, things that I remember is going to the fair and the rodeo and seeing the troopers, which is a drum corps, being very influenced by that. It was kind of like that whole cowboy culture. In the springtime, we would go out to Hat Six Ranch, which was a friend of my uncles who had a cattle ranch, and they did roundups. We watched the castrations. We watched the Rocky Mountain oysters. We watched all that going on. I was probably anywhere from four to six years old. So participating in that, I didn't do. But seeing it definitely kind of affected me, my whole culture at that point in time.",childhood;family
[00:02:12],CB,"Moving out to New York, uh, upstate New York, uh, completely different culture, they thought that we still fought with the Indians, you know, I mean, it was just that whole transition of that. We called, you know, a Coke, we called it pop.",childhood
[00:02:28],RS,Mmhm.,
[00:02:28],CB,"They called it soda. So, you know, that whole evolution thing. So then we kind of transferred all the way to their culture and then melded with that, you know, more hockey. It was more about soccer, is more about lacrosse, you know, rodeo? Nobody even knew what rodeo was. So it wasn't really until we got back to Casper, which was my final year of high school, that, you know, and not really then did I get interested in rodeo, it was a little bit even later after college, but yeah, it was kind of a kind of a big change.",childhood
[00:02:55],RS,And growing up in such a big family. Did you get along with all your siblings and step-siblings?,
