timestamp,speaker,words,tags
,Revulai Detiv,"Hello, this is Revulai Detiv. I'm here with Dan Iverson and we are at the AGRA Rodeo, and today is February 16th [2020]. So, to start off with, what year were you born?",
,Dan Iverson,1954.,
,RD,Where did you grow up?,
,DI,"I grew up in Murdo, South Dakota.",
,RD,What was your childhood like?,
,DI,"I grew up on a farm and a ranch, and I knew at the time I did not want to follow in my father's footsteps. The ranch was homesteaded by my grandfather in 1904. Fortunately, I had a brother that wanted to take over the family place, so I was happy about that.",childhood;family
,RD,Was it an apprehension with continuing farming?,
,DI,"I wanted to be in the city. I wanted to be around people, do something different. So, I just didn’t want to be stuck on the farm and have to do all the chores that farmers and ranchers have to do.",childhood
,RD,"Makes sense. So, how do you identify in terms of gender and sexuality?",
,DI,I am a gay man.,
,RD,Did you ever end up coming out to your family?,
,DI,"I went to one of the International Gay Rodeo Association's conventions in 1987 and I won an award there. And the convention was in Albuquerque, and after I left Albuquerque, I went to South Dakota to spend time with my folks, and I had my award. So, I showed my mother the award and it said “International Gay Rodeo” on it. And that's how I—she said she already suspected it anyway, but that's how I actually showed her. And that was in 1987.",comingout;family
,RD,Were they pretty supportive?,
,DI,"She was very supportive. I do not know when she told my dad. I never, ever had the conversation with my dad about it. But my mom and dad had been married for almost 60 years so—not at that time, but before my dad died, they'd been married for about 60 years. So, I'm sure that they—he had to have known about it. But I just didn't have that conversation with him.",comingout
,RD,Did you ever attend college?,
,DI,"I attended Black Hill State University in Spearfish, South Dakota. And I was on the five-year plan. Just ‘cause it got me off the farm, and there was college kids, and it was a small, friendly, beautiful campus. And so, I was on the five-year program, but I did graduate.",
,RD,What did you study?,
,DI,"I was in travel industry management—hotel, motel, restaurant management. That kind of stuff.",
,RD,Did you have any favorite experiences from college?,
,DI,"I was a member of a fraternity, and we had a fun bunch of guys, and we did the usual fraternity things and football games. We threw keggers and fundraisers and I was president of the fraternity my junior and senior year. So, yes, I enjoyed it very much. And that was another reason to do the five-year plan, because I didn't want to go have to go back to the farm.",
,RD,Makes sense.,
,DI,My folks were probably not very happy about that.,
,RD,It’s a once in a lifetime thing.,
,DI,"That's right. Yeah. No, I enjoyed my college days very much.",
,RD,So how did you first become involved in rodeo?,
,DI,"I was going to a bar called Styx in Phoenix and they had a Country and Western Night. Now, I always made sure I went to that. And they had a group going to the National Gay Reno Rodeo in Reno one year and I decided to go with them. So, we all got on a school bus, went to the airport, flew to Reno, and I attended the National Reno Gay Rodeo. And I'm not sure if that was ‘82 or ‘83, but it was either ‘82 or ‘83—I kinda want to say ‘83—and I had so much fun, and then I heard that Colorado had a gay rodeo association, so I made arrangements to go to their first rodeo or their second rodeo, whatever it was. And I just met a bunch of people, and became interested, and kept track of where I had been and who I'd met. And that's how it all started. And one of my friends from Phoenix won the gay pageant. She ran for the pageant, and she was Miss Reno Gay Rodeo the year I went and that was—she was one of my friends. So, between her and I, we were able to keep track of what was going on.",
,RD,Nice. When did you get involved with…in the ring?,
,DI,"Oh, in the arena? Through my contacts with the Colorado Gay Rodeo Association and Charlie's Denver, I found out that Charlie's was opening a new bar in Phoenix called Charlie's Phoenix. And I stayed in touch, and I went there, and I heard that they were going to—John King and his staff—was going to form a rodeo association. So, I went to the first meetings, and I am one of two founding members of AGRA that's still involved, myself and John King. And I've just been hanging out ever since.",
,RD,"So, how would you compare the gay rodeo versus the straight rodeos?",
,DI,"The gay rodeos, I enjoy the events that they have. The camp events, the wild drag, steer decorating, goat dressing. I really enjoy those. And when straight friends of mine know that I'm part of the gay rodeo, they ask me the same thing: “What do you do?” And I tell them about how much fun we have with camp events versus the straight rodeos that I grew up being around. And I have several straight friends that always say they're going to go to a gay rodeo because they want to see how the camp events are done. And they like the idea that we do chute dogging from the ground, running out of the chute and grabbing the animal. Taking the animal out of the chute versus getting down—catching it off a horse. So, they're curious. So today, I've had probably ten friends that have showed up, straight friends who have been to a gay rodeo.",events
,RD,Did they really like it?,
,DI,"They enjoy it. And there was always some questions about whether they wanted to show up, ‘cause they thought maybe…you know, being straight people with all the gay people. They've all said it was absolutely no problem. They were very comfortable with the gay crowd. Yes.",
,RD,That’s good to hear. How has being involved in the gay radio affected other aspects of your life?,
,DI,"I worked in Tempe, Arizona, for many years. I left South Dakota in 1980 and moved to Arizona, and I was working in Tempe, Arizona. And…I was able to schedule, for many years, all my vacation time and all my weekends that were available were to go to gay rodeos, gay rodeo events, related events, and/or anything gay. Not just rodeos, I'd do gay prides around the country, gay square dance exhibitions, all kinds of stuff. And I worked all my vacation—scheduled all that around all those events.",events
,RD,Was your work community supportive of that?,
,DI,"The manager, the general manager, of the hotel I worked for for many years came to me and asked me if I would help write a sexual…whatever you call it, to the bylaws of the hotel. And so one of my other friends that worked for Intel, we sat down, and we wrote up a thing and the general manager accepted it. And that was in the employee handbook for the hotel I worked at.",jobs
,RD,And that was in the 80s?,
,DI,"Um, 90s—early 90s.",
,RD,That sounds pretty ahead of its time.,
,DI,"Right. And I had never had the conversation with him, but since I was heavily involved with AGRA, one of our local gay publications had rodeo pictures on the front cover, and I actually seen one of them at work one day, and I didn't take it there. And one of the house—I worked for a hotel—and one of the housekeepers was carrying around this gay publication and there was a picture me on the front page. And she was carrying it around, and I'm not sure what was said, I never questioned it or anything, but I'm assuming that everyone had figured it out by then.",
,RD,Did you ever experience any harassment at the gay rodeo?,
