timestamp,speaker,words,tags
[00:00:01],Renae Campbell,"All right, so we're recording an interview. This is Renae Campbell and I'm here with Mahlon Lovell—did I say it right?",
[00:00:08],Mahlon Lovell,Lovell. Lovell.,
,RC,"Lovell. Um, and we—it's November 11, 2019—and we are at the International Gay Rodeo Convention in Denver, Colorado. And so, can you start by telling me where you were born?",
[00:00:23],ML,"Well, I was born in Taipei, Taiwan, actually.",childhood
,RC,Oh.,
,ML,"Yeah. And my dad was in the Air Force, so that's where he met my mom. So, and then I’ve lived in the United States probably since I was one, if not right before.",childhood
[00:00:36],RC,"Okay. So, then where did you move to when you moved to the…?",
,ML,"So, then my family—my dad and I—moved to Phoenix, Arizona, when I was three. So that's where I pretty much grew up. So, I’m from Phoenix. And, uh, yeah.",childhood
,RC,"Okay. So, did you—would you consider that more of an urban upbringing? Or a rural upbringing?",
[00:01:03],ML,"Um, urban upbringing. I was more urban ‘cause I was in the central city. So, yeah. But I have friends who lived in the rural areas.",childhood
,RC,And did you—were you around horses or cattle at all as a young person? Or was that later?,
[00:01:21],ML,"No, it's—again, I have some friends and I did do some traveling when I was a kid. I got to go to camps and stuff like that. So, I—actually, ironically, growing up, there used to be a horse property around the corner from my apartment, which was right there in the middle of the city. Because there are still some areas in Phoenix that have horse properties in the city. And so, I’m familiar with horses. I wasn’t brought up with horses, and I didn’t ride them regularly. But I’ve had experiences with horses—a little bit.",childhood
,RC,"Okay. And did you go to high school there, as well, in Phoenix?",
,ML,"For the year that I went, yes. [laughs]",
,RC,That counts!,
,ML,"I got my GED. So, yeah.",
,RC,Where did you go to get your GED?,
,ML,At one of the community colleges in Phoenix.,
,RC,"Okay. And then, how did you become involved with this?",
,ML,"Ironically, I was kind of involved with, I—my first experience with rodeo was probably about twenty-five years ago. I went to Phoenix. Phoenix has—is part of the IGRA, so they have a rodeo in, back then, I believe it was January. And I went to my very first gay rodeo. I was probably about 23, 24. And then, later that year, I went to my second gay rodeo, which was in California. And that was really my big experience. Because the first one, I was just there and walking around partying and drinking but the next one, I was actually looking to see what was going on with the rodeo and everything else. ",
,ML,"But then, I didn't get reacquainted with the gay rodeo until probably about—probably about six or seven—no, it's been about nine years ago. I was part of a nonprofit organization in Phoenix, and the rodeo, and one of the other organizations that was attached to the rodeo. My organization was one of their beneficiaries. So, I would have to go and participate in those things. And so, when we would set up booths at the rodeo, I would volunteer. You know, doing the—watching the gates, opening the gates for the tractors and stuff like that to clean the fields and all. And then, later on, I was asked to become part of the organization that helped out at—ran the rodeos. And the Gay Games were in Cleveland a few years ago. And that year, they included the International Gay Rodeo Association, and so they included the rodeo in the Gay Games. So, I got to go and participate in part of that. And, yeah, ever since, I got more and more involved. Then I got asked to become—to try and be a royalty member. And this is—this was my second try and I got, I got on the team.",
[00:04:49],RC,"And so, you are currently royalty.",
,ML,I am currently—I am current royalty. I'm First Runner Up for the Mr. title for the IGRA.,
,RC,Congratulations.,
,ML,"Um, and… [Mahlon enters into a side conversation with an IGRA member, to protect privacy, approximately 4 seconds were deleted from the audio track and not transcribed] …I will be current as of the first of the year. I’m 2020. So, I’m Mr. IGRA First Runner Up 2020.",
,RC,"So, you’re the 2020?",
,ML,"Yes. Yes. [Voice of IGRA member in background, to protect privacy, approximately 1 second was deleted from the audio track and not transcribed]",
,RC,Okay.,
,ML,"So, I’m currently still a local title holder, which is Mr. Arizona Gay Rodeo Association. […] We had this contest last month at finals. And part of—part of this—part of the requirements to get this, we have to either participate in two events at the rodeo or work under an official. And so, this year—pardon me—this year, I did a few rodeos where I timed. I was a timer. So, we kept time for some of the events.",
,RC,Okay.,
,ML,"So, yeah. So, we—we get involved as well. I have a knee problem so I can't participate in the rodeo, but I try and participate wherever I can.",
[00:06:05],RC,"Yeah. So, kinda going back briefly to—what was your introduction to IGRA? You know, you said you went in Arizona. How did you find out about it? Or…what, um, what led you to it?",
[00:06:19],ML,"Well, back then I was hanging out at the local bar that was really one of the bars that started—helped start the rodeo. And so, they had advertisements up. And then a bunch of friends were going out, so I said, “Okay, let’s go.” So, I went and that's pretty much it—just word of mouth. And then, ironically, the—when I went to my second rodeo in California, back then I guess they had community members that were just—did their grand entry. And they asked me, like, “Hey, do a grand entry!” and I said, “Okay.” So that was—I guess that would technically be my first introduction to actual—some of the… pageantry of rodeo. I don't know if you want to say pageantry, but some of the….",
,RC,"Performance, maybe?",
,ML,"Extra. Extras of rodeo—not the actual events, but the recognition of the associations and so forth. I got to be a part of that and I was like, “Oh, that’s really not me.” And again, my real introduction to really get involved was when I was part of the nonprofit in Arizona, and it being a beneficiary, and then going out and volunteering, and stuff like that for that. It was—that was my real big introduction. And making friends with everybody.",
[00:07:45],RC,And what was the name of that organization? The nonprofit?,
,ML,"The nonprofit that I was affiliated with was the Joshua Tree Feeding Program. And it's a—it's basically—it’s a food bank that focuses on the HIV-AIDS community. People living with HIV and AIDS. So, fully community supported and everything.",
[00:08:08],RC,Um-hum. And did you do that as a volunteer or was that your job at the time?,
,ML,"Yeah, it's a volunteer organization. So, there are no paid—there is no paid staff—so I did that purely on a volunteer [basis]. But I was on the board; I was their fundraising coordinator. So that's how I got involved with the other organizations that were raising money for us. And you got to see what those organizations did. So that's why I started volunteering—to get involved.",
[00:08:38],RC,"So, were you working at the same time as that in something related? Or was that just the….",
[00:08:44],ML,"Actually, no. I've been on disability for fifteen years. So, at the time, I wasn’t working and so I was just volunteering. So, I was always looking for stuff to do to keep busy and felt that it was also a good way to give back to the community and stuff like that, instead of just sitting there twiddling my thumbs all the time. So [laughs] so, I kind of have to be active, you know. It's—I couldn't think of any other organizations besides the nonprofit that I was part of. In fact, I got involved with a couple other non-profits, too, as well as Arizona Gay Rodeo Association and then, in turn, International Gay Rodeo Association. So, I'm very community focused myself.",
[00:09:40],RC,"So, had you ever been to a rodeo, um, before? Before you went to the….",
,ML,"A regular rodeo? Oh, yeah. In fact, back when I was a little child, my dad was a member of the Phoenix Jaycees, which are no longer. And they would hold a rodeo every year. So, yeah, as a kid, I would go to the rodeo. I was, you know—every once and a while and watch the rodeos but not really involved in them, until I turned my 20s—is when I really started looking, and seeing them, and saying, “Oh, there's a place for us.” […] So not really. As a child, I would go to different rodeos, but not in that capacity that I do with the rodeo associations—gay rodeo associations.",
[00:10:40],RC,And can I ask when you—it sounds like you came out at some point in between there?,
[00:10:43],ML,"When I came out? I came—really, I came out—I always knew when I was a child. I knew. But I came out when I was 17. But still didn't know anything about rodeos until I was probably about 23, 24—didn’t know anything about the gay rodeos, I should say—until I was about 23, 24.",comingout
[00:11:06],RC,"Yeah. And so, having been to both kinds of rodeo, is there a different feel for you being at IGRA?",
