timestamp,speaker,words,tags
[00:00:01],Dusty Fleener,"It is Saturday, November the twenty-third and it is 8:07 p.m. and we are sitting and visiting with Patrick. So, would you mind telling us about how you came to be involved with rodeo? ",
[00:00:14],Patrick a.k.a. Cowboy Ram,"So I came to be involved with rodeo when I first moved to Washington D.C. Prior to moving to Washington D.C. I was listening to a lot of country music and when I moved down I looked to see what kind of bars there were in Washington D.C. and I found that there was a gay country western bar called “Remington’s,” located on Capital Hill just about six blocks from the capital and after moving to Washington D.C. I went to Remington’s because being a listener of country western music I figured that would be a good bar for me to go to. And I walked in and saw the bar, saw the dancing and I thought “This is where I want to be,” so pretty soon I was spending five nights a week there. About two or three weeks after I moved to Washington D.C. the rodeo association had a table and I had seen rodeos before and I thought that might be something that I want to check out a little bit more. So they were promoting and selling tickets to the rodeo.",music
,PCR,"I was very poor in those days so I kind of waited until the end of the night just to get a little bit of information, ‘cause I didn’t have money to buy tickets. When I went up, Mike Lentz, who was very involved with Atlantic States Gay Rodeo Association - as a competitor, as president, as trustee - was one of the first people who I met and he looked at me toward the end of the night as they were packing their stuff up, ‘cause I figured you know I could swipe a newsletter and not really have to talk to anybody. But, he caught me, and he looked at me, and he said “Have you ever been to a rodeo before?” And I said, “Yes.” And he said “Well you should come to ours.” And I took the information and read the newsletter. I didn’t go to the rodeo that year but they were beginning to, after the rodeo, they were beginning to look for planning the committees and the board for the following year. There were a listing of committees and the contact information for them and I thought well this would be a good way for me to start making a social circle and getting some friends in a structured way and maybe I might date a cowboy or two. ",
,PCR,"So that’s kind of how I got started with the association itself. I joined the Social and Entertainment Committee and I joined the Public Relations Committee. The Social and Entertainment Committee was in charge of planning the volunteer appreciation event at the end of that year and I got involved in that and started talking to the then president, Jason Hayes, and working with him a little bit on the event and he was a bull rider and I thought to myself, “Well that will impress guys.” You know, “What do you do at the rodeo?” “I ride bulls.” So, as we became better friends I asked him how he got into rodeo and that I wanted to learn to be a competitor. He gave me some instructions on where to look for frodeo schools, etcetera, etcetera. And I went and learned from some rodeo schools and a year later I was doing steer riding. So that’s kind of the start.",
[00:04:56],DF,"That’s amazing. And were you hesitant to start doing the steer riding? I mean, you had no experience with it beforehand, is that right? ",
[00:05:05],PCR,"I had no experience with steer riding or competing in rodeo beforehand. But I had done snowboarding prior to that and that was back in the days, you know, that was back before...that was back when snowboarding was looked at as the lazy man’s version of skiing, where it wasn’t taken seriously, it wasn’t considered a real event. It was basically, like, you were taking a skateboard and strapping it to your...a skateboard without wheels...strapping it to your feet with Wonder Bread ties and going down a mountain. So, I had done a little bit of an extreme sport beforehand. So doing rodeo itself and doing the steer riding my only hesitation was that I wanted to be good. ",
[00:06:01],DF,What’s your definition of “being good?”,
[00:06:04],PCR,"The definition of “being good” would be somebody who was consistently placing, consistently earning ribbons, consistently earning buckles. That was kind of my definition of “good.” ",
[00:06:21],DF,Do you remember your first ribbon or buckle that you managed to earn? ,
[00:06:25],PCR,"The...I don’t remember my first ribbon or buckle. I actually do remember the first and only buckle that I have ever earned. So the first and only buckle that I had ever earned was with the Idaho Gay Rodeo Association. So they used to do an event every May and I would go out and participate in their event. They gave away one buckle, one buckle only for everything, one all-around buckle. Unlike some other rodeo associations or other rodeo events where they might have buckles for individual events or more than one buckle they had one and only one. And that was the first buckle that I had won by competing there. So, the first and only buckle I ever won. ",events
[00:07:22],DF,That was really something if they only had the one and you won it!,
[00:07:24],PCR,Yes. ,
[00:07:25],DF,My goodness. What year was that again? ,
[00:07:28],PCR,That was 2003. ,
[00:07:32],DF,"And how much time, then, had passed into that point from when you had started the steer riding to earning the buckle?",
[00:07:38],PCR,Five years. ,
[00:07:39],DF,Five years. Impressive amount of skill you managed to build up in such a short amount of time. And then was that still...you’re based out of Washington D.C. and you go clear out to Idaho to complete?,
[00:07:49],PCR,Yes. ,
[00:07:50],DF,Is that common? ,
[00:07:51],PCR,Yes. Actually it is fairly common for people to basically travel the country to compete in rodeo,
[00:08:01],DF,"Would your home association send other folks or would you all travel independently and just happen to go to different...is it a coordinated event, I guess?",
[00:08:09],PCR,"It was more travelling independently but a lot of us would wind up at some of the same rodeos for the early, you know, late 90s early 2000s. You know, people would travel the circuit, like, a career, so you see a lot of the same people at the same rodeos and it’d be the same groups of people so, you know, kind of unorganized contingents that would be coming to the various rodeos across the country. ",
[00:08:49],DF,"But so good to have those familiar faces and the touchstones of “Oh yeah, I haven’t seen you since…” ",
[00:08:52],PCR,Yes. Yep. ,
[00:08:54],DF,And so that’s how you got your start in rodeo and now you’re president of your association. ,
[00:08:59],PCR,Yes. And now I’m president of the association! [Laughter.] Thanks to Michael Lentz as well! ,
[00:09:09],DF,So really he is bookending the story here for beginning and to your rise to where you are now? ,
[00:09:16],PCR,Yes. Yeah. ,
[00:09:19],DF,"Does he give more encouragement? More, “You look like you could use something else to get your hands into?”",
[00:09:24],PCR,"I’m sorry, say that again? ",
[00:09:25],DF,"So he invited you to get into rodeo to start with, and then did he also invite you to get into the leadership roles?",
[00:09:32],PCR,"Now, well, probably after about the first year after I joined the Social and Entertainment Committee the person who was head of the Social and Entertainment Committee, at that time, Tracy Hipps, actually he was the one who kind of encouraged me to be head of the Social and Entertainment Committee the following year. I did that, I did Public Relations for a little while, and those were the two positions that I held until holding the position of president.",
[00:10:14],DF,May I ask how that transition occurred?,
[00:10:18],PCR,"Sure! [Laughter.] So the way that transition occurred is we had somebody, Beth Brockleman, who had been in the position of president for probably, like, I would say four years. Maybe five years. And she was ready to step down and there wasn’t anybody else and we were having a membership meeting and what happened was I was on my way to the membership meeting, so I was on the phone, and you know they were talking about who was going to be the next president and how they were going to do nominations and blah, blah, blah, and at that point my phone lost signal and cut out. ",
,PCR,"And so, about, you know, a few minutes later I called back when the signal was back and I said, “Hey,” you know, “Calling back in! What did I miss?” And Mike Lentz said, “Well, we just nominated and elected you president!” [Laughter.] And I thought, “Ha ha ha, he’s joking!” But when I got to the meeting it wasn’t a joke. They had nominated and elected me to be president. So that’s how that happened! ",
[00:11:43],DF,Did they give you any kind of...did the former person give you guidance? Give you assistance into stepping into that role? ,
[00:11:48],PCR,"Well Mike Lentz and a few other folks like Les Boggs, and Louis Vernado, and Andy Pitman, and other people who had been involved in rodeo have been really good over the years in terms of being a resource for questions, sounding board, being a pair of hands, being at the rodeo, you know...Sonny Kurner, Mark Larsen, Oscar Moschello, or other members of our association who’ve done a lot of hands on work and a lot of, you know, vocal listening and sounding board and that kind of thing. ",
[00:12:40],DF,So you weren’t unsupported. ,
[00:12:42],PCR,Correct.,
[00:12:42],DF,It sounds like a good family watching out for you. ,
[00:12:45],PCR,Yes. Yep. ,
[00:12:47],DF,What were some of the most challenging things that you’ve had to deal with in your tenure as president?,
[00:12:51],PCR,"Well membership growth is one of the things that is most challenging. For the area that we are in venues for doing events, whether they be rodeo school events or whether they be membership events. Another challenge is, you know, the membership who was part of the association in its adolescence is now matured into its middle age and maturing into the middle age they’re not as interested as they are in doing bar event when you’re like twenty-six and thirty-two when...you know, you’re forty-two and like fifty-six, you’re kind of interested in doing something else other than going to bars. So we’re trying to meet that desire and that need for the membership...is some of the challenges that I’ve had as president of the association. ",
[00:14:03],DF,And you have some new ideas on how to grow membership? ,
[00:14:06],PCR,"That’s something that we’re always looking at, yeah.",
[00:14:10],DF,And so that was the challenging. What are some of the most rewarding things for you in your time as tenure of president?,
[00:14:15],PCR,"Some of the most rewarding things...is, um, some of the most rewarding things...actually, the most rewarding thing is when people come up to me and they say...they either have really fond memories of the rodeo that we used to produce, or really fond memories of the dances, or really fond memories of our rodeo weekend, or they come and they say that they didn’t know that such a thing as gay rodeo existed. What makes that really rewarding is our last rodeo that we produced was in 2008 and our membership and IGRA’s membership has had a decline from, you know, the middle 2000s to now. ",dance;igra
,PCR,"But I kind of think to myself even though we may have a decline in membership, you know, how lucky am I to have been a part of something where, you know, people still remember it, like, ten years later. So that’s the thing that’s most rewarding and then finding people who are interested in country western and are interested in rodeo competition and they live in our area and they don’t know where to start or where to look, or that such a thing exists. So that’s the thing that is rewarding, is providing that for the people who...that has been their life, they want to continue that being in Washington D.C. and we can provide a way for them to do that.",
[00:16:19],DF,"Do people in Washington D.C., especially when they just discover the rodeo community, do they have that disconnect of “Well, it’s not out West.” You know, these ideas about cowboys are out West and the “American West.” Do they have some incongruity with...over on the east side of the states?",
[00:16:36],PCR,"A little bit. The questions that they tend to ask is, you know, “Where do you do that?” and “How do you practice it?” So that’s the part that’s the disconnect for them.",
[00:16:51],DF,And you mentioned venues were an issue of just trying to secure the space. Is it that you have to go so far afield to find an appropriate one or one that will fit the size of the event that you’re running? ,
[00:17:02],PCR,A little bit of both. Finding a venue space that is in close enough an area of Washington D.C. that you’re not asking people to travel way far out and then finding something that would meet the requirements for what International Gay Rodeo Association is looking for in terms of your venue space.,
[00:17:28],DF,"You mentioned that you had moved to Washington D.C., where was home for you originally? Were you a military brat and moved around? Or did you come from out west and moved east? Or...",
[00:17:37],PCR,"No, I came from New England.",
[00:17:39],DF,New England? ,
[00:17:40],PCR,Yes. Yeah. If you’ve ever seen the movie “The Witches of Eastwick” that’s my town.,
[00:17:46],DF,But Washington D.C. is now where the heart is?,
[00:17:50],PCR,"Yes. Yeah. It, well, no the heart is still in New England but the body is in Washington D.C. Most of my family is still in the New England area, so, yeah. ",
[00:18:05],DF,And you have siblings? ,
[00:18:08],PCR,I do. I have two sisters. ,
[00:18:09],DF,Are they older? Younger? ,
[00:18:11],PCR,They’re younger. ,
[00:18:12],DF,Okay so you didn’t get picked on. At least they didn’t gang up on you?,
[00:18:15],PCR,"No, no. ",
[00:18:16],DF,What was growing up in New England like for you? ,
[00:18:19],PCR,"I spent most of my time at the beach. Like every summer. And where I lived was...so you know, it was south of Boston and for the time that I grew up it was actually considered a fairly big town because we had twenty-five thousand people which was fair sized but we were kind of not suburban. We’re probably “sub-urban suburban.” I like to tell people that we were so close to being off the map that there was literally a park called “World’s End.” Growing up there wasn’t too much that is unique or unusual about the way that I grew up. ",childhood
,PCR,"Most summers were spent at the beach, the whole entire day spent at the beach. Most winters were spent in school, or as I got older, working. Other than that the most striking thing is when I grew up, if we had any kind of storm that was slightly remotely bad, the power would go out and sometimes the power might go out for three days and that was just a very normal part of growing up. And it wasn’t unusual to be prepared for that kind of problem, so, you would get out your candles and light them and...",childhood
[00:20:18],DF,"So like a taste of frontier life, really? ",
[00:20:20],PCR,Yes. Yeah. ,
[00:20:22],DF,"You mentioned snowboarding and then time at the beach, so you were very much into the high...extreme sports activities as well? Maybe surfing or, um, things like that that drew the adrenaline out? ",
