timestamp,speaker,words,tags
[00:00:01] ,Saraya Flaig,"This is Saraya Flaig and I’m here with Tim Smith in Denver, Colorado, at the International Gay Rodeo convention on November 22nd, 2019. So, Tim, what year were you born?",
,Tim Smith,‘67,
,SF,What was your childhood like?,childhood
,TS,"I actually grew up in a small town in Texas, in Garland. A pretty rural area. There my whole life, so basically, you know, three schools, elementary, junior high, high school, kind of knew everybody in town. That type of thing. Pretty small town. Outside of Dallas, Texas area.",childhood
,SF,Did your family doing ranching or farming of any kind?,family
[00:00:42],TS,"Uh, no. Well, actually, yes, they did. My father had come from a large family in Mississippi that that's—that’s what they did. Ranched, ran cattle. Stuff like that. My mother was from Texas. But I didn't grow up with it. Around me, yes. But my parents did not.",childhood;family;parents
,SF,Did you have any siblings growing up?,
,TS,"No, I was an only child [laughs].",childhood
[00:01:06],SF,What were some of your experiences in high school and growing up?,
,TS,"You know, I was actually…I’m very involved in high school. I was actually, like, mascot—Olly Owl. I was very involved. Class president, officer, involved in several clubs, you know, choir. I was very involved in high school, so I had a pretty good friend base from being involved.",childhood
,SF,What were some of your experiences like coming out?,comingout
,TS,"You know, it's interesting, but…not sure what you were kind of doing, you know, in high school. Obviously, once you hit sexuality, trying to figure out what was really going on and, you know, obviously coming from a small town in Texas. And okay, am I supposed to be with a girl, you know, do I do that? So, I had some girlfriends. But then it just never really did…lead up to anything. And basically, eventually I guess I became secure enough about sophomore year in college that I actually said, you know, this is who I am. And just told my parents, look I’m gay.",comingout;parents
[00:02:15] ,SF,Were your parents accepting at all?,parents
,TS,"You know, initially, no, my mother was not. Which, I actually thought it would be the other way around. My mother was probably what I thought more liberal minded versus my father, who came from Mississippi. He actually seemed to be more okay with it than my mother did. However, she did finally come around and was…accepting and learned to deal with it in her own way.",comingout;parents
[00:02:44],SF,Did you grow up very religious?,
,TS,"No. Ironically, my mother was Cherokee Indian. Now, my grandmother—her mother—that I was very close to, was very religious. But my mother was not. Because she was brought up very religious, and she's like, you know, when you get to that age, you can choose your religion.",religion
,SF,Are you religious personally?,
,TS,"No, uh uh. You know, I wouldn't say I’m religious, I would say it’s more spiritual. I don’t know how else to explain that, but it's more of a spiritual connection. I do feel that that's between you and the creator, you know, not you and everybody else necessarily. So, I have my faith, I guess you could say.",religion
,SF,"And you said your grandmother was pretty religious, did you come out to her?",
,TS,"Oh, yes. Uh huh. As a matter of fact, she actually had lived with us. Well, I had gone and gotten her, and she actually lived with me briefly till, she actually—and then I put her in with my parents, but then she passed away not long after that. But I actually had her—so she actually lived with me for a while.",religion;parents;comingout
,SF,Was she accepting of you coming out?,comingout
[00:03:50],TS,"Yeah. She didn't seem to actually address it. Discuss it, I guess you could say. She never really said, yea, nay. I don’t know that it bothered her. To be honest with you, I don't think she just…maybe wanted to address it? So, we didn't really discuss it. Other than, you know, she said, “As long as you're happy.”",comingout
[00:04:22],SF,"You said you attended college, where did you go to college",
,TS,SMU. Southern Methodist University.,
,SF,What did you study in college?,
,TS,"Well, originally, I was gonna to go in as a law student. And I'm like, “Oh my gosh, this is gonna take me forever.” So, I actually studied—became a math major, and I got out of there with a math major [laughs]. With a business…",
[00:04:39] ,SF,What did you do with your degree?,
,TS,"Nothing [laughs]. I actually, right out of college, I had actually an interview and I started flying with Delta Airlines in June right after college, and I was with them for 10 years. So, I never had to use my degree.",
,SF,"So, I’m assuming you traveled a lot as a…flight attendant?",
,TS,I did,
,SF,"So, what was your experience traveling around the world and being gay?",
,TS,"You know, I think that sometimes we ourselves put more on the fact of how other people perceive us, or whatever. I had kind of come to terms—I was very comfortable with who I was. I mean, it wasn't a question of whether I was gay or not. To me, people had to know. I mean, to me there was no assumption about it. But I never put anything into what they thought, whether they liked it or didn't like. I was always just cordial to people. And I think that most people, just because I was nice to them and didn't push my sexuality on them, they in turn were very responsive back, to at least to be polite and cordial to me. So, I don’t…I didn’t—sometimes you could kind of tell somebody was not really comfortable with you. But for the most part, I didn't see that—or I didn't let it, actually.",
,SF,Did you experience any homophobia or anything?,homophobia
,TS,"You know…I did a little bit. You know, here and there. I guess you could say periodically. Actually, most of mine I think came out later and more like just being in general public and being around or something like that and someone, you know, using the word queer or faggot or something like that to you. And again, if you allow that to take over—and I didn’t, so it's never fazed me. Like, “Hey, it is what it is,” you know?",homophobia
,SF,"How did you discover rodeo? Or the gay rodeo specifically, I guess?",
[00:06:42] ,TS,"Well, actually, ironically, my first partner—lover—was rodeo, and so I got involved with him. He was one of our team roping people on the circuit for many years. And so, I literally…had gotten involved that way, is how I got involved.",
,SF,"And did you just follow him to rodeos, or did you compete yourself?",
[00:07:12] ,TS,"Ironically, you know, initially I kind of helped him—he was also an announcer, so I would help him play the music—back then it was cassette tapes. And so, you know, you have to push play and stop and all of this. And so, I kind of would help him. Now, him and I had separated, and after that I actually got involved in the royalty program. And it was a fluke in Dallas, and you raised money for charity. And so, I actually ran for Miss Texas Gay Rodeo Association, TGRA, for ‘89. And part of your criteria was doing drag and performing. So, I actually got into rodeo initially with drag. However, I then went from that, being in drag, and I started competing in the rodeo as a contestant. So, it kind of brought me into being the contestant side of the rodeo.",charity;performance;royalty;music
,SF,"So, you said you did drag. Did you do drag at all before rodeo, or was that your first experience?",
[00:08:09] ,TS,"No. Actually, it was literally what introduced me to drag, was that program. Back in that program—initially is, you would raise money directly for charities, as royalty, as an ambassador of an association. So, I literally was intrigued with the raising of charity, that money going to charity, and TGRA was set up very different: all your money had to go to charity. So, that year I raised over 20,000 dollars running by myself as a candidate.",charity;royalty
,SF,Wow.,
